career_name,osca_code,osca_title,isco08_code,isco08_title,correspondence_flag,esco_concept_uri,esco_code,esco_title,matched_label,matched_label_type,normalized_exact,similarity_score,esco_description,esco_modified_date,review_status
UI / UX Designer,242132,UI / UX Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/c995fe34-0909-4ce3-b7b7-97945efede56,2166.12,performance video designer,video designer,alternative_label,no,71.43,"Performance video designers develop a projected image design concept for a performance and supervise the execution of it. Their work is based on research and artistic vision. Their design is influenced by and influences other designs and must be conform with these designs and the overall artistic vision. Therefore, the designers work closely with artistic directors, operators and the artistic team. Performance video designers prepare media fragments to be used in a performance, which can involve recording, composing, manipulating and editing. They develop plans, mapping, cue lists and other documentation to support the operators and production crew. They sometimes also work as autonomous artists, creating video art outside a performance context.",2024-01-11T15:09:06.888Z,pending
Web Designer,242133,Web Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/30ed83ba-cc89-4d9f-a59d-5c783c1da56e,2166.15,web designer,web designer,preferred_label,yes,100.0,"Web designers are in charge of creating the visual elements, layout and other aspects such as the easiness of use of a website. They follow the different phases of a website creation from the design to the implementation until it goes live. They work side by side with front-end developers to design user interfaces that met the needs of customers and are also appealing. They are responsible of developing mock-ups and of confirming the technical feasibility of the product. They can use and put together various types of elements for the website including graphics, animations, text, videos and photos. They are in contact with clients and stakeholders of the company to ensure that the design of the website meets their needs.",2023-10-24T10:19:17.11Z,pending
Web Designer,242133,Web Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/52df9d56-efd4-48d0-ad93-59231943fc4c,2166.3.1,3D animator,3D designer,alternative_label,no,78.26,"3D animators are in charge of animating 3D models of objects, virtual environments, layouts, characters and 3D virtual animated agents.",2023-11-28T09:40:49.966Z,pending
Web Designer,242133,Web Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/11830794-108c-48fe-a282-2cd7a2945344,2166.8,gambling games designer,games designer,alternative_label,no,76.92,"Gambling games designers design innovative gambling, betting and lottery games. They determine the design, gaming rules or structure of a game. Gambling games designers may also demonstrate the game to individuals.",2024-02-07T14:37:13.826Z,pending
Graphic Designer,242332,Graphic Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/69bcbb0a-8d80-4ecd-b0a4-9adea2a40de2,2166.9,graphic designer,graphic designer,preferred_label,yes,100.0,"Graphic designers create text and images to communicate ideas. They make visual concepts by hand or using computer software, intended for publishing in paper or online media such as advertisements, websites, and magazines.",2024-01-25T10:17:18.97Z,pending
Graphic Designer,242332,Graphic Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/30ed83ba-cc89-4d9f-a59d-5c783c1da56e,2166.15,web designer,graphic web designer,alternative_label,no,88.89,"Web designers are in charge of creating the visual elements, layout and other aspects such as the easiness of use of a website. They follow the different phases of a website creation from the design to the implementation until it goes live. They work side by side with front-end developers to design user interfaces that met the needs of customers and are also appealing. They are responsible of developing mock-ups and of confirming the technical feasibility of the product. They can use and put together various types of elements for the website including graphics, animations, text, videos and photos. They are in contact with clients and stakeholders of the company to ensure that the design of the website meets their needs.",2023-10-24T10:19:17.11Z,pending
Graphic Designer,242332,Graphic Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/52df9d56-efd4-48d0-ad93-59231943fc4c,2166.3.1,3D animator,CGI designer,alternative_label,no,78.57,"3D animators are in charge of animating 3D models of objects, virtual environments, layouts, characters and 3D virtual animated agents.",2023-11-28T09:40:49.966Z,pending
Civil Engineer,243231,Civil Engineer,2142,Civil engineers,p,http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360,2142.1,civil engineer,civil engineer,preferred_label,yes,100.0,"Civil engineers design, plan, and develop technical and engineering specifications for infrastructure and construction projects. They apply engineering knowledge in a vast array of projects, from the construction of infrastructure for transportation, housing projects, and luxury buildings, to the construction of natural sites. They design plans that seek to optimise materials and integrate specifications and resource allocation within the time constraints.",2025-03-18T15:30:28.579Z,pending
Civil Engineer,243231,Civil Engineer,2142,Civil engineers,p,http://data.europa.eu/esco/occupation/2a914d26-42aa-46b5-acf3-097d51ba4617,2142.1.2,construction engineer,site engineer,alternative_label,no,74.07,Construction engineers interpret building designs and add technical specifications to construction projects. They integrate engineering principles into the designs to ensure that structures are safe and resistant. They work together with architects and engineers to transform design ideas into executable plans.,2024-01-26T11:34:25.14Z,pending
Civil Engineer,243231,Civil Engineer,2142,Civil engineers,p,http://data.europa.eu/esco/occupation/a377fafb-7e6e-4925-bc64-8099b58aafb8,2142.1.3,drainage engineer,drain engineer,alternative_label,no,71.43,"Drainage engineers design and construct drainage systems for sewers and storm water systems. They evaluate the options to design drainage systems that meet the requirements while ensuring compliance with legislation and environmental standards and policies. Drainage engineers choose the most optimal drainage system to prevent floods, control irrigation and direct sewage away from water sources.",2024-01-26T11:34:41.793Z,pending
Electrical Engineer,243331,Electrical Engineer,2151,Electrical engineers,p,http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,2151.1,electrical engineer,electrical engineer,preferred_label,yes,100.0,"Electrical engineers design and develop electrical systems, electrical equipment, components, motors, and equipment with the feature of energy transmission. They engage in large scale projects such as the design and maintenance of power stations, and the distribution of power to smaller applications such as household appliances.",2025-04-11T11:40:18.738Z,pending
Electrical Engineer,243331,Electrical Engineer,2151,Electrical engineers,p,http://data.europa.eu/esco/occupation/e69697d0-2639-4aad-b73a-05e0b98357b1,2151.1.4,mine electrical engineer,electrical engineer,alternative_label,yes,100.0,"Mine electrical engineers supervise the procurement, installation and maintenance of mining electrical equipment, using their knowledge of electrical and electronic principles. They organise the replacement and repair of electrical equipment and components.",2024-01-23T11:05:51.541Z,pending
Electrical Engineer,243331,Electrical Engineer,2151,Electrical engineers,p,http://data.europa.eu/esco/occupation/77abfaec-a250-4765-95fa-6091e8da1bba,2151.1.3,electromechanical engineer,electromechanical engineer,preferred_label,no,84.44,"Electromechanical engineers design and develop equipment and machinery that use both electrical and mechanical technology. They make draughts and prepare documents detailing the material requisitions, the assembly process and other technical specifications. Electromechanical engineers also test and evaluate the prototypes. They oversee the manufacturing process.",2024-01-23T11:05:48.899Z,pending
Industrial Engineer,243531,Industrial Engineer,2141,Industrial and production engineers,p,http://data.europa.eu/esco/occupation/53d2052f-edc0-4f44-8be1-164526412bfe,2141.4,industrial engineer,industrial engineer,preferred_label,yes,100.0,"Industrial engineers design a vast array of production systems aiming to present efficient and effective solutions. They integrate a varied number of variables such as workers, technology, ergonomics, production flows, and product specifications for the design and implementation of production systems. They can specify and design for microsystems as well.",2024-01-22T12:20:12.067Z,pending
Industrial Engineer,243531,Industrial Engineer,2141,Industrial and production engineers,p,http://data.europa.eu/esco/occupation/91d0f74b-8612-49cc-a7da-83ee3c4b94d9,2141.5,leather goods industrial engineer,industrial engineer,alternative_label,yes,100.0,"Leather goods industrial engineers analyse product technical specifications, define productive operations and their sequence, refine working methods and calculate operative times by using time measurement techniques. They address human and technological resources to each operation and define distribution of work according to production capacity. All their activities and tasks have the objective of maximising productivity and reducing production costs, assuring the functionality and quality of product and customer satisfaction.",2024-01-23T10:57:50.298Z,pending
Industrial Engineer,243531,Industrial Engineer,2141,Industrial and production engineers,p,http://data.europa.eu/esco/occupation/b5eaf231-77ad-4a86-8e54-15cc4398aad2,2141.10,process engineer,industrial quality engineer,alternative_label,no,82.61,Process engineers apply engineering concepts in order to improve all kinds of production and manufacturing processes in terms of efficiency and productivity. They evaluate the variables and constraints present in given processes and present engineering solutions to optimise them.,2025-04-11T12:13:58.584Z,pending
Industrial Engineer,243531,Industrial Engineer,2149,Engineering professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/0e99c929-364f-4b0a-8a64-2aab42420f00,2149.9.7,renewable energy engineer,industrial energy engineer,alternative_label,no,84.44,"Renewable energy engineers research alternative sources of energy in order to design systems for renewable energy production. They strive to optimise energy production from renewable sources, and reduce production expenses and environmental strain. They design systems which focus on energy sustainability and efficiency.",2024-01-23T11:04:05.637Z,pending
Industrial Engineer,243531,Industrial Engineer,2149,Engineering professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/b065b637-5cb5-44d9-8c39-08004b51734e,2149.1,acoustical engineer,acoustical engineer,preferred_label,no,78.95,Acoustical engineers study and apply the science of sound to various applications. They work in a wide range of areas including the consultation of the acoustics and elements affecting the transmission of sound in spaces for performances or recording activities. They can also consult on the levels of noise contamination for those activities that require compliance with standards on that matter.,2023-10-25T11:00:14.355Z,pending
Industrial Engineer,243531,Industrial Engineer,2149,Engineering professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/4a375b68-88a0-4e5f-99ce-9b01341dfb81,2149.11,materials engineer,material engineer,alternative_label,no,77.78,"Materials engineers research and design new or improved materials for a diverse number of applications. They analyse the composition of materials, conduct experiments, and develop new materials for industry-specific use that can range from rubber, to textiles, glass, metals, and chemicals. They advise companies in damage assessments, quality assurance of materials, and recycling of materials.",2023-07-04T16:02:27.136Z,pending
Mechanical Engineer,243532,Mechanical Engineer,2144,Mechanical engineers,p,http://data.europa.eu/esco/occupation/579254cf-6d69-4889-9000-9c79dc568644,2144.1,mechanical engineer,mechanical engineer,preferred_label,yes,100.0,"Mechanical engineers research, plan and design mechanical products and systems and supervise the fabrication, operation, application, installation and repair of systems and products. They research and analyse data.",2025-03-18T15:00:03.992Z,pending
Mechanical Engineer,243532,Mechanical Engineer,2144,Mechanical engineers,p,http://data.europa.eu/esco/occupation/ae8b19cc-8c6e-4a16-ada2-c15f97ded133,2144.1.15,optomechanical engineer,optomechanical engineer,preferred_label,no,90.48,"Optomechanical engineers design and develop optomechanical systems, devices, and components, such as optical mirrors and optical mounts. Optomechanical engineering combines optical engineering with mechanical engineering in the design of these systems and devices. They conduct research, perform analysis, test the devices, and supervise the research.",2024-01-23T11:00:04.681Z,pending
Mechanical Engineer,243532,Mechanical Engineer,2144,Mechanical engineers,p,http://data.europa.eu/esco/occupation/fcbb66f5-843b-4152-9ce4-e7b19c2a88d9,2144.1.12,mine mechanical engineer,mine mechanical engineer,preferred_label,no,88.37,"Mine mechanical engineers supervise the procurement, installation, removal and maintenance of mining mechanical equipment, using their knowledge of mechanical specifications. They organise the replacement and repair of mechanical equipment and components.",2024-01-23T10:59:57.95Z,pending
Occupational Therapist,262331,Occupational Therapist,2269,Health professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/33da5532-8c4e-4d1b-b52e-c201ee1bc7ab,2269.4,occupational therapist,occupational therapist,preferred_label,yes,100.0,"Occupational therapists assist individuals or groups who have occupational limitations due to diseases, physical disorders, and temporary or permanent mental disabilities, in regaining their ability to perform daily activities. They provide treatment and rehabilitation to enable them to actively participate in society, to live their lives according to their wishes and to perform those activities that are meaningful to them. Occupational therapists work in public health and social care services, but can also be involved in supporting asylum seekers, refugees and/or homeless people.",2024-01-16T14:23:20.05Z,pending
Occupational Therapist,262331,Occupational Therapist,2269,Health professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/82cbe20d-967c-4161-9ecd-eafc724d171c,2269.5,occupational therapy assistant,occupational therapy assistant,preferred_label,no,84.62,"Occupational therapy assistants support occupational therapists by working with people and communities to enhance their ability to engage in the occupations they want to, need to, or are expected to do, or by modifying the occupation or the environment to better support their occupational engagement. They work under the supervision of an occupational therapist.",2024-01-16T14:23:28.476Z,pending
Occupational Therapist,262331,Occupational Therapist,2269,Health professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/f9395e4d-d66f-49ce-a8f5-721991139e79,2269.9,recreational therapist,recreational therapist,preferred_label,no,81.82,"Recreational therapists offer treatment to persons who have behavioural disorders or conditions. They use techniques and interventions such as art, music, animals and dance to promote, maintain and restore the development and health of the patient.",2024-01-11T16:57:36.848Z,pending
Physiotherapist,262431,Physiotherapist,2264,Physiotherapists,,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264.2,physiotherapist,physiotherapist,preferred_label,yes,100.0,"Physiotherapists are autonomous health professionals who are responsible for developing, maintaining or restoring motor function and movement throughout the lifespan using evidence-based practice. They relieve pain and treat or prevent physical conditions associated with injury, disease or other impairments. Physiotherapists empower patients and their carers to manage the condition outside clinical settings. They work within their scope of practice and their professional Code of Conduct.",2024-01-16T10:48:48.922Z,pending
Physiotherapist,262431,Physiotherapist,2264,Physiotherapists,,http://data.europa.eu/esco/occupation/a317e9c2-62d5-4a24-8ad4-5cb7b9db3f3b,2264.1,advanced physiotherapist,senior physiotherapist,alternative_label,no,81.08,"Advanced physiotherapists are highly specialised. They make complex decisions and manage risks in unpredictable contexts and within a defined area. They may focus on a specific area of clinical practice, education, research or professional management.",2024-01-11T15:50:04.636Z,pending
Registered Nurse (Acute Care),265432,Registered Nurse (Acute Care),2221,Nursing professionals,p,http://data.europa.eu/esco/occupation/36494988-69d2-4420-9db4-eb56605ac983,2221.1,advanced nurse practitioner,emergency nurse practitioner,alternative_label,no,58.18,"Advanced nurse practitioners are in charge of promoting and restoring patients` health, provide diagnosis and care in advanced settings, coordinating care within areas of chronic disease management, providing integrated care, and supervising assigned team members. Advanced nurse practitioners are general care nurses who have acquired an expert knowledge base, complex decision making skills and clinical competencies for expanded clinical practice on advanced level.",2025-04-03T12:27:02.295Z,pending
Registered Nurse (Acute Care),265432,Registered Nurse (Acute Care),2221,Nursing professionals,p,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,2221.3,specialist nurse,specialist nurse practitioner,alternative_label,no,57.14,"Specialist nurses promote and restore people's health, and diagnose and care within a specific branch of the nursing field. Examples of such specialist nursing jobs include but are not restricted to; ambulatory care nurse, advanced practice nurse, cardiac nurse, dental nurse, community health nurse, forensic nurse, gastroenterology nurse, hospice and palliative care nurse, paediatric nurse, public health nurse, rehabilitation nurse, renal nurse and school nurse. Specialist nurses are general care nurses prepared beyond the level of a nurse generalist and authorised to practice as specialists with specific expertise in a branch of the nursing field.",2024-01-22T12:16:53.544Z,pending
Registered Nurse (Acute Care),265432,Registered Nurse (Acute Care),2221,Nursing professionals,p,http://data.europa.eu/esco/occupation/8d3e8aaa-791b-4c75-a465-f3f827028f50,2221.2,nurse responsible for general care,district nurse,alternative_label,no,48.78,"Nurses responsible for general care are in charge of promoting and restoring patients` health by providing physical and psychological support to patients, friends, and families. They also supervise assigned team members.",2024-01-22T12:16:31.411Z,pending
Cyber Security Advice and Assessment Specialist,271132,Cyber Security Advice and Assessment Specialist,2529,Database and network professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,2529.2,digital forensics expert,cybersecurity and forensic specialist,alternative_label,no,73.81,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.",2023-11-02T16:02:52.522Z,pending
Cyber Security Advice and Assessment Specialist,271132,Cyber Security Advice and Assessment Specialist,2529,Database and network professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,2529.4,ethical hacker,cybersecurity specialist,alternative_label,no,67.61,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses.",2023-08-08T16:15:58.662Z,pending
Cyber Security Advice and Assessment Specialist,271132,Cyber Security Advice and Assessment Specialist,2529,Database and network professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,2529.8,cybersecurity risk manager,cybersecurity specialist,alternative_label,no,67.61,"Cybersecurity risk managers identify, analyse, assess, estimate and mitigate cybersecurity-related risks of ICT infrastructures such as systems or services. They manage these aspects by planning risk analysis, applying, reporting, assessing, communicating, and treating them. They establish a risk management strategy for the organisation and ensure that risks remain at an acceptable level for the organisation by selecting mitigation actions and controls.",2024-01-12T11:24:03.192Z,pending
Cyber Security Analyst,271133,Cyber Security Analyst,2529,Database and network professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,2529.2,digital forensics expert,cybersecurity analyst,alternative_label,no,97.67,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.",2023-11-02T16:02:52.522Z,pending
Cyber Security Analyst,271133,Cyber Security Analyst,2529,Database and network professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,2529.8,cybersecurity risk manager,cybersecurity impact analyst,alternative_label,no,84.0,"Cybersecurity risk managers identify, analyse, assess, estimate and mitigate cybersecurity-related risks of ICT infrastructures such as systems or services. They manage these aspects by planning risk analysis, applying, reporting, assessing, communicating, and treating them. They establish a risk management strategy for the organisation and ensure that risks remain at an acceptable level for the organisation by selecting mitigation actions and controls.",2024-01-12T11:24:03.192Z,pending
Cyber Security Analyst,271133,Cyber Security Analyst,2529,Database and network professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,2529.4,ethical hacker,cybersecurity specialist,alternative_label,no,78.26,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses.",2023-08-08T16:15:58.662Z,pending
Cyber Security Architect,271134,Cyber Security Architect,2529,Database and network professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4,2529.7,cyber incident responder,ICT security architect,alternative_label,no,86.96,"Cyber incident responders monitor and assess cybersecurity state systems, analysing, evaluating, and mitigating the impact of cybersecurity incidents. Moreover, they identify malicious actors and cyber incidents root causes. According to the organisation’s Incident Response Plan, they restore systems and process functionalities to an operational state, collecting evidence and documenting actions taken.",2025-08-01T14:41:50.583Z,pending
Cyber Security Architect,271134,Cyber Security Architect,2529,Database and network professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,2529.4,ethical hacker,cybersecurity tester,alternative_label,no,77.27,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses.",2023-08-08T16:15:58.662Z,pending
Cyber Security Architect,271134,Cyber Security Architect,2529,Database and network professionals not elsewhere classified,p,http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,2529.8,cybersecurity risk manager,ICT security chief,alternative_label,no,71.43,"Cybersecurity risk managers identify, analyse, assess, estimate and mitigate cybersecurity-related risks of ICT infrastructures such as systems or services. They manage these aspects by planning risk analysis, applying, reporting, assessing, communicating, and treating them. They establish a risk management strategy for the organisation and ensure that risks remain at an acceptable level for the organisation by selecting mitigation actions and controls.",2024-01-12T11:24:03.192Z,pending
Cyber Security Engineer,271135,Cyber Security Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,2512.1,cloud engineer,cloud security engineer,alternative_label,no,82.61,"Cloud engineers are responsible for the design, planning, management and maintenance of cloud-based systems. They develop and implement cloud-applications, handle the migration of existing on-premise applications to the cloud, and debug cloud stacks.",2024-02-13T10:43:31.922Z,pending
Cyber Security Engineer,271135,Cyber Security Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c,2512.5,user interface developer,user interface engineer,alternative_label,no,60.87,"User interface developers implement, code, document and maintain the interface of a software system by using front-end development technologies.",2024-01-26T14:06:31.556Z,pending
Cyber Security Engineer,271135,Cyber Security Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b,2512.7,cloud DevOps engineer,devops engineer,alternative_label,no,57.89,"Cloud DevOps engineers implement and manage continuous software delivery systems and methodologies. This includes managing and configuring code repositories, build services, automated testing, and deployment mechanisms. For cloud-based workloads, a Cloud DevOps Engineer define and deploy infrastructure as code, automating test and development environments. They can define and configure automated disaster recovery solutions that meet business objectives.",2024-07-08T14:38:58.473Z,pending
ICT Business Analyst,273232,ICT Business Analyst,2511,Systems analysts,p,http://data.europa.eu/esco/occupation/fe0fa514-b48d-4a53-9757-a283c0baacf0,2511.9,ICT business analyst,ICT business analyst,preferred_label,yes,100.0,"ICT business analysts are in charge of analysing and designing an organisation's processes and systems, assessing the business model and its integration with technology. They also identify change needs, assess the impact of the change, capture and document requirements and then ensure that these requirements are delivered whilst supporting the business through the implementation process.",2025-02-27T12:25:01.531Z,pending
ICT Business Analyst,273232,ICT Business Analyst,2511,Systems analysts,p,http://data.europa.eu/esco/occupation/4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f,2511.8,ICT business analysis manager,lead IT business analyst,alternative_label,no,86.36,ICT business analysis managers identify areas where information system changes are needed to support business plans and monitor the impact in terms of change management. They contribute to the general ICT functional requirements of the business organisation. ICT business analysis managers analyse business needs and translate them into ICT solutions.,2024-01-17T11:08:24.019Z,pending
ICT Business Analyst,273232,ICT Business Analyst,2511,Systems analysts,p,http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,2511.3,data analyst,business data analyst,alternative_label,no,78.05,"Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. They might prepare reports in the form of visualisations such as graphs, charts, and dashboards.",2025-04-11T11:27:25.66Z,pending
Cloud Engineer,273331,Cloud Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,2512.1,cloud engineer,cloud engineer,preferred_label,yes,100.0,"Cloud engineers are responsible for the design, planning, management and maintenance of cloud-based systems. They develop and implement cloud-applications, handle the migration of existing on-premise applications to the cloud, and debug cloud stacks.",2024-02-13T10:43:31.922Z,pending
Cloud Engineer,273331,Cloud Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b,2512.7,cloud DevOps engineer,cloud DevOps engineer,preferred_label,no,80.0,"Cloud DevOps engineers implement and manage continuous software delivery systems and methodologies. This includes managing and configuring code repositories, build services, automated testing, and deployment mechanisms. For cloud-based workloads, a Cloud DevOps Engineer define and deploy infrastructure as code, automating test and development environments. They can define and configure automated disaster recovery solutions that meet business objectives.",2024-07-08T14:38:58.473Z,pending
Cloud Engineer,273331,Cloud Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2,2512.4.1,blockchain developer,DLT engineer,alternative_label,no,76.92,"Blockchain developers implement or program blockchain-based software systems based on specifications and designs by using programming languages, tools, and blockchain platforms.",2024-02-22T16:00:27.722Z,pending
DevOps Engineer,273332,DevOps Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b,2512.7,cloud DevOps engineer,devops engineer,alternative_label,yes,100.0,"Cloud DevOps engineers implement and manage continuous software delivery systems and methodologies. This includes managing and configuring code repositories, build services, automated testing, and deployment mechanisms. For cloud-based workloads, a Cloud DevOps Engineer define and deploy infrastructure as code, automating test and development environments. They can define and configure automated disaster recovery solutions that meet business objectives.",2024-07-08T14:38:58.473Z,pending
DevOps Engineer,273332,DevOps Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2,2512.4.1,blockchain developer,DLT engineer,alternative_label,no,74.07,"Blockchain developers implement or program blockchain-based software systems based on specifications and designs by using programming languages, tools, and blockchain platforms.",2024-02-22T16:00:27.722Z,pending
DevOps Engineer,273332,DevOps Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,2512.1,cloud engineer,cloud engineer,preferred_label,no,68.97,"Cloud engineers are responsible for the design, planning, management and maintenance of cloud-based systems. They develop and implement cloud-applications, handle the migration of existing on-premise applications to the cloud, and debug cloud stacks.",2024-02-13T10:43:31.922Z,pending
Software Engineer,273333,Software Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,2512.4,software developer,software engineer,alternative_label,yes,100.0,"Software developers implement or program all kinds of software systems based on specifications and designs by using programming languages, tools, and platforms.",2025-04-11T12:22:06.198Z,pending
Software Engineer,273333,Software Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,2512.1,cloud engineer,cloud software engineer,alternative_label,no,85.0,"Cloud engineers are responsible for the design, planning, management and maintenance of cloud-based systems. They develop and implement cloud-applications, handle the migration of existing on-premise applications to the cloud, and debug cloud stacks.",2024-02-13T10:43:31.922Z,pending
Software Engineer,273333,Software Engineer,2512,Software developers,p,http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,2512.3,software architect,software designer,alternative_label,no,82.35,"Software architects create the technical design and the functional model of a software system, based on functional specifications. They also design the architecture of the system or different modules and components related to the business' or customer requirements, technical platform, computer language or development environment.",2024-01-26T14:06:28.616Z,pending
Software Engineer,273333,Software Engineer,2514,Applications programmers,,http://data.europa.eu/esco/occupation/bd272aee-adc9-4a06-a15c-a73b4b4a46a7,2514.2,ICT application developer,application software engineer,alternative_label,no,73.91,"ICT application developers implement the ICT (software) applications based on the designs provided using application domain specific languages, tools, platforms and experience.",2025-08-01T12:19:48.208Z,pending
Software Engineer,273333,Software Engineer,2514,Applications programmers,,http://data.europa.eu/esco/occupation/bb6198c4-1d3e-40b9-9cc4-ad2dd9d7c74b,2514.3,industrial mobile devices software developer,handheld software developer,alternative_label,no,59.09,"Industrial mobile devices software developers implement applications software for specific, professional industrial mobile (handheld) devices, based on the industry needs, using general or specific development tools for device operating systems.",2024-01-26T09:54:25.264Z,pending
Software Engineer,273333,Software Engineer,2514,Applications programmers,,http://data.europa.eu/esco/occupation/cc325a8f-702e-4bf0-893f-5b5d456475ad,2514.5,cloud identity manager,cloud identity engineer,alternative_label,no,55.0,Cloud identity managers work with identity access management's applications. Collaborate with senior management to address key risks in the identity governance. Plan strategies to comply with professional standards.,2023-10-30T14:10:15.2Z,pending
